ds,y
2012-02-01,35000
2012-03-01,105000
2012-04-01,103950
2012-08-01,35000
2012-09-01,65000
2012-10-01,275975
2013-02-01,63650
2013-03-01,19750
2013-05-01,17000
2013-06-01,23875
2013-07-01,34900
2013-08-01,63525
2013-09-01,21875
2013-10-01,110450
2013-11-01,150575
2013-12-01,355225
2014-01-01,177475
2014-02-01,193875
2014-03-01,159875
2014-04-01,117875
2014-05-01,140775
2014-06-01,177950
2014-07-01,269675
2014-08-01,141075
2014-09-01,98375
2014-10-01,284100
2014-11-01,268525
2014-12-01,351300
2015-01-01,573125
2015-02-01,302725
2015-03-01,369375
2015-04-01,80602325
2015-05-01,91296875
2015-06-01,82051525
2015-07-01,130130575
2015-08-01,100144425
2015-09-01,82848975
2015-10-01,128001325
2015-11-01,102250250
2015-12-01,126652425
2016-01-01,54000
2016-02-01,256425
2016-03-01,454350
2016-04-01,147950
2016-05-01,252150
2016-06-01,64725
2016-07-01,282775
2016-08-01,237450
2016-09-01,167175
2016-10-01,130250
2016-11-01,102100
2016-12-01,228050
2017-02-01,61025
2017-03-01,132000
2017-04-01,145375
2017-05-01,75300
2017-06-01,123450
2017-07-01,139225
2017-08-01,63875
2017-09-01,175775
2017-10-01,525400
2017-11-01,346175
2017-12-01,392600
2018-01-01,219725
2018-02-01,274000
2018-03-01,198825
2018-07-01,13000
2018-08-01,72825
2018-09-01,88300
2018-10-01,23150
