ds,y
2013-11-01,423800
2013-12-01,1609550
2014-01-01,453400
2014-02-01,555175
2014-03-01,352300
2014-04-01,489425
2014-05-01,520675
2014-06-01,349750
2014-07-01,688475
2014-08-01,583750
2014-09-01,102775
2014-10-01,793775
2014-11-01,730950
2014-12-01,752550
2015-01-01,1031075
2015-02-01,558325
2015-03-01,819950
2015-04-01,148882600
2015-05-01,162969075
2015-06-01,142705900
2015-07-01,226058675
2015-08-01,171834250
2015-09-01,131694975
2015-10-01,233167975
2015-11-01,174799325
2015-12-01,199028700
2016-01-01,186100
2016-02-01,672025
2016-03-01,1103375
2016-04-01,381850
2016-05-01,156150
2016-06-01,400775
2016-07-01,240000
2016-08-01,234550
2016-09-01,231500
2016-10-01,176175
2016-11-01,312925
2016-12-01,205525
2017-02-01,108300
2017-03-01,232275
2017-04-01,173175
2017-05-01,201600
2017-06-01,156025
2017-07-01,217425
2017-08-01,305150
2017-09-01,234825
2017-10-01,234575
2017-11-01,303250
2017-12-01,274050
2018-01-01,144850
2018-02-01,139725
2018-03-01,189575
2018-06-01,9800
2018-07-01,74925
2018-08-01,47300
2018-09-01,45200
2018-11-01,14000
2018-12-01,4000
