ds,y
2012-02-01,70000
2012-03-01,243425
2012-04-01,279475
2012-05-01,65000
2012-08-01,65000
2012-09-01,94000
2012-10-01,350600
2012-12-01,30000
2013-04-01,28550
2013-06-01,78950
2013-07-01,20950
2013-08-01,54250
2013-09-01,94050
2013-10-01,162750
2013-11-01,173475
2013-12-01,1391825
2014-01-01,428575
2014-02-01,328300
2014-03-01,295700
2014-04-01,370000
2014-05-01,230575
2014-06-01,280975
2014-07-01,617850
2014-08-01,376225
2014-09-01,138800
2014-10-01,912000
2014-11-01,360900
2014-12-01,417000
2015-01-01,842750
2015-02-01,667650
2015-03-01,599375
2015-04-01,144951025
2015-05-01,164354000
2015-06-01,143983475
2015-07-01,241311975
2015-08-01,198821050
2015-09-01,164395025
2015-10-01,262967200
2015-11-01,198396100
2015-12-01,234257175
2016-01-01,113050
2016-02-01,286775
2016-03-01,452850
2016-04-01,245100
2016-05-01,324850
2016-06-01,218900
2016-07-01,156400
2016-08-01,33800
2016-09-01,24000
2016-10-01,246850
2016-11-01,181000
2016-12-01,141875
2017-02-01,25000
2017-03-01,199300
2017-04-01,310050
2017-05-01,122500
2017-06-01,144400
2017-07-01,175200
2017-08-01,120000
2017-09-01,209825
2017-10-01,226100
2017-11-01,249225
2017-12-01,174325
2018-01-01,175575
2018-02-01,335000
2018-03-01,250450
2018-06-01,35000
2018-07-01,196000
2018-08-01,142600
2018-09-01,205775
