ds,y
2007-08-01,9200
2007-09-01,5000
2008-03-01,6000
2008-04-01,27000
2008-08-01,7500
2008-11-01,19500
2008-12-01,8000
2009-01-01,27000
2009-04-01,11500
2009-05-01,41900
2009-06-01,1800
2009-07-01,5000
2009-08-01,2600
2009-10-01,24000
2009-11-01,56800
2009-12-01,81200
2010-01-01,5000
2010-02-01,52400
2010-03-01,49900
2010-04-01,47000
2010-05-01,65550
2010-06-01,36800
2010-07-01,99500
2010-08-01,133750
2010-09-01,86775
2010-10-01,129025
2010-11-01,99300
2010-12-01,119675
2011-01-01,61725
2011-02-01,109625
2011-03-01,92000
2011-04-01,364650
2011-05-01,136500
2011-06-01,203350
2011-07-01,118350
2011-08-01,164075
2011-09-01,181400
2011-10-01,22082000
2011-11-01,23784875
2011-12-01,1484600
2012-01-01,33867450
2012-02-01,35574500
2012-03-01,24222675
2012-04-01,37213925
2012-05-01,736725
2012-07-01,13600
2012-08-01,806250
2012-09-01,1973200
2012-10-01,4671400
2012-11-01,150100
2012-12-01,124375
2013-01-01,261200
2013-02-01,118850
2013-03-01,332925
2013-04-01,254725
2013-05-01,342700
2013-06-01,283350
2013-07-01,256075
2013-08-01,401250
2013-09-01,297700
2013-10-01,375425
