ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2012-02-01,7129685.034502501,-44880165.665095836,36936608.82423561,7129685.034502501,7129685.034502501,-13235880.405910011,-13235880.405910011,-13235880.405910011,-13235880.405910011,-13235880.405910011,-13235880.405910011,0.0,0.0,0.0,-6106195.371407511
2012-03-01,7141336.096966464,-39256922.29465935,50556046.05299456,7141336.096966464,7141336.096966464,51390.37385744817,51390.37385744817,51390.37385744817,51390.37385744817,51390.37385744817,51390.37385744817,0.0,0.0,0.0,7192726.470823912
2012-04-01,7153790.680979667,-39519434.265159436,46822457.50122434,7153790.680979667,7153790.680979667,-4586297.6551111,-4586297.6551111,-4586297.6551111,-4586297.6551111,-4586297.6551111,-4586297.6551111,0.0,0.0,0.0,2567493.0258685676
2012-08-01,7202805.487913214,-21924863.705447875,60828526.48930828,7202805.487913214,7202805.487913214,12045008.069315093,12045008.069315093,12045008.069315093,12045008.069315093,12045008.069315093,12045008.069315093,0.0,0.0,0.0,19247813.557228304
2012-09-01,7215260.070002886,-21406567.630586483,64263032.97414316,7215260.070002886,7215260.070002886,15941656.877419133,15941656.877419133,15941656.877419133,15941656.877419133,15941656.877419133,15941656.877419133,0.0,0.0,0.0,23156916.94742202
2012-10-01,7227312.887071355,-29549859.976320393,53475546.96500312,7227312.887071355,7227312.887071355,5542262.307091888,5542262.307091888,5542262.307091888,5542262.307091888,5542262.307091888,5542262.307091888,0.0,0.0,0.0,12769575.194163244
2013-02-01,7276729.43705208,-37447895.8666061,46478601.39760373,7276729.43705208,7276729.43705208,-2015610.8931082808,-2015610.8931082808,-2015610.8931082808,-2015610.8931082808,-2015610.8931082808,-2015610.8931082808,0.0,0.0,0.0,5261118.5439438
2013-03-01,7287978.732982653,-41323566.687959485,42426209.59157761,7287978.732982653,7287978.732982653,-5894261.939528259,-5894261.939528259,-5894261.939528259,-5894261.939528259,-5894261.939528259,-5894261.939528259,0.0,0.0,0.0,1393716.7934543937
2013-05-01,7312486.1255342085,-26171653.96112317,55161048.438562855,7312486.1255342085,7312486.1255342085,8138089.71867737,8138089.71867737,8138089.71867737,8138089.71867737,8138089.71867737,8138089.71867737,0.0,0.0,0.0,15450575.844211578
2013-06-01,7324940.702076803,-26586927.017169505,58920554.165423736,7324940.702076803,7324940.702076803,10921365.87958559,10921365.87958559,10921365.87958559,10921365.87958559,10921365.87958559,10921365.87958559,0.0,0.0,0.0,18246306.581662394
2013-07-01,7336993.516276826,-22791786.412682105,65669342.62898453,7336993.516276826,7336993.516276826,13814597.414044358,13814597.414044358,13814597.414044358,13814597.414044358,13814597.414044358,13814597.414044358,0.0,0.0,0.0,21151590.930321183
2013-08-01,7349448.090950184,-27221653.6520642,58851741.79492852,7349448.090950184,7349448.090950184,7991050.617039669,7991050.617039669,7991050.617039669,7991050.617039669,7991050.617039669,7991050.617039669,0.0,0.0,0.0,15340498.707989853
2013-09-01,7361902.663347985,-29819060.018978514,56616012.62839221,7361902.663347985,7361902.663347985,6779185.478284331,6779185.478284331,6779185.478284331,6779185.478284331,6779185.478284331,6779185.478284331,0.0,0.0,0.0,14141088.141632315
2013-10-01,7373955.475345856,-24458984.873327874,58664198.30481448,7373955.475345856,7373955.475345856,9440477.492865168,9440477.492865168,9440477.492865168,9440477.492865168,9440477.492865168,9440477.492865168,0.0,0.0,0.0,16814432.968211025
2013-11-01,7386410.052115278,-22242801.720959,57739559.66565533,7386410.052115278,7386410.052115278,11393266.478432689,11393266.478432689,11393266.478432689,11393266.478432689,11393266.478432689,11393266.478432689,0.0,0.0,0.0,18779676.53054797
2013-12-01,7398462.868343752,-23673995.751680184,61835899.85334342,7398462.868343752,7398462.868343752,9983910.930832518,9983910.930832518,9983910.930832518,9983910.930832518,9983910.930832518,9983910.930832518,0.0,0.0,0.0,17382373.79917627
2014-01-01,7410917.439420691,-26681308.873207908,55493524.940930136,7410917.439420691,7410917.439420691,6814027.298586239,6814027.298586239,6814027.298586239,6814027.298586239,6814027.298586239,6814027.298586239,0.0,0.0,0.0,14224944.73800693
2014-02-01,7423372.010497631,-37243040.51168438,46348805.82441548,7423372.010497631,7423372.010497631,-5851987.422966837,-5851987.422966837,-5851987.422966837,-5851987.422966837,-5851987.422966837,-5851987.422966837,0.0,0.0,0.0,1571384.5875307936
