ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-11-01,38705883.85,-24748103.420740955,124784379.61314122,38705883.85,38705883.85,8945448.835886126,8945448.835886126,8945448.835886126,8945448.835886126,8945448.835886126,8945448.835886126,0.0,0.0,0.0,47651332.68588613
2013-12-01,37927953.32383984,-31565604.91013805,123166853.3699141,37927953.32383984,37927953.32383984,4774281.82250056,4774281.82250056,4774281.82250056,4774281.82250056,4774281.82250056,4774281.82250056,0.0,0.0,0.0,42702235.1463404
2014-01-01,37124091.780141026,-37497073.62191298,109339678.35983834,37124091.780141026,37124091.780141026,-1891481.930168498,-1891481.930168498,-1891481.930168498,-1891481.930168498,-1891481.930168498,-1891481.930168498,0.0,0.0,0.0,35232609.84997253
2014-02-01,36320230.234359756,-56251558.359971054,103217497.0727578,36320230.234359756,36320230.234359756,-12388551.80124852,-12388551.80124852,-12388551.80124852,-12388551.80124852,-12388551.80124852,-12388551.80124852,0.0,0.0,0.0,23931678.433111235
2014-03-01,35594161.74139603,-63413061.524810925,89977326.2508846,35594161.74139603,35594161.74139603,-21568224.598949045,-21568224.598949045,-21568224.598949045,-21568224.598949045,-21568224.598949045,-21568224.598949045,0.0,0.0,0.0,14025937.142446987
2014-04-01,34790300.19380209,-3624102.830534191,139871586.58013156,34790300.19380209,34790300.19380209,27290534.030983787,27290534.030983787,27290534.030983787,27290534.030983787,27290534.030983787,27290534.030983787,0.0,0.0,0.0,62080834.22478588
2014-05-01,34012369.66219422,-8335378.07161152,142722847.31333676,34012369.66219422,34012369.66219422,28162506.501110043,28162506.501110043,28162506.501110043,28162506.501110043,28162506.501110043,28162506.501110043,0.0,0.0,0.0,62174876.16330427
2014-06-01,33208508.112866104,-33042756.68681146,119981532.04130788,33208508.112866104,33208508.112866104,11983963.539865166,11983963.539865166,11983963.539865166,11983963.539865166,11983963.539865166,11983963.539865166,0.0,0.0,0.0,45192471.65273127
2014-07-01,32430577.58082715,-3608491.820634322,140800105.32352775,32430577.58082715,32430577.58082715,34460025.946838126,34460025.946838126,34460025.946838126,34460025.946838126,34460025.946838126,34460025.946838126,0.0,0.0,0.0,66890603.52766527
2014-08-01,31626716.03105357,-25317832.822955776,124221618.51566204,31626716.03105357,31626716.03105357,17492075.840794466,17492075.840794466,17492075.840794466,17492075.840794466,17492075.840794466,17492075.840794466,0.0,0.0,0.0,49118791.87184803
2014-09-01,30822854.48371791,-42021390.83627343,107506635.31891483,30822854.48371791,30822854.48371791,4891350.249590422,4891350.249590422,4891350.249590422,4891350.249590422,4891350.249590422,4891350.249590422,0.0,0.0,0.0,35714204.73330833
2014-10-01,30044923.954038244,5825986.049529511,154581157.38280582,30044923.954038244,30044923.954038244,48482210.286874294,48482210.286874294,48482210.286874294,48482210.286874294,48482210.286874294,48482210.286874294,0.0,0.0,0.0,78527134.24091254
2014-11-01,29241062.405468643,-26241525.952333823,126992726.6981766,29241062.405468643,29241062.405468643,19454288.847832546,19454288.847832546,19454288.847832546,19454288.847832546,19454288.847832546,19454288.847832546,0.0,0.0,0.0,48695351.25330119
2014-12-01,28463131.87459484,-12659207.07580533,135542034.4538302,28463131.87459484,28463131.87459484,34144945.76649092,34144945.76649092,34144945.76649092,34144945.76649092,34144945.76649092,34144945.76649092,0.0,0.0,0.0,62608077.64108576
2015-01-01,27659270.324672777,-72586442.60027495,77867328.02796997,27659270.324672777,27659270.324672777,-26000675.31109971,-26000675.31109971,-26000675.31109971,-26000675.31109971,-26000675.31109971,-26000675.31109971,0.0,0.0,0.0,1658595.0135730654
2015-02-01,26855408.77550156,-71644075.36865717,78202546.30096297,26855408.77550156,26855408.77550156,-23783596.204254344,-23783596.204254344,-23783596.204254344,-23783596.204254344,-23783596.204254344,-23783596.204254344,0.0,0.0,0.0,3071812.5712472163
2015-03-01,26129340.279475942,-85040886.70933905,65081190.34907146,26129340.279475942,26129340.279475942,-34072737.94252441,-34072737.94252441,-34072737.94252441,-34072737.94252441,-34072737.94252441,-34072737.94252441,0.0,0.0,0.0,-7943397.6630484685
2015-04-01,25325478.73067418,-1878054.6659839323,150768923.27765942,25325478.73067418,25325478.73067418,48597685.14326656,48597685.14326656,48597685.14326656,48597685.14326656,48597685.14326656,48597685.14326656,0.0,0.0,0.0,73923163.87394074
2015-05-01,24547548.199575707,-6784499.966408117,138085806.31763446,24547548.199575707,24547548.199575707,41076243.1092637,41076243.1092637,41076243.1092637,41076243.1092637,41076243.1092637,41076243.1092637,0.0,0.0,0.0,65623791.30883941
2015-06-01,23743639.07857734,-46989599.346523546,101567596.18976176,23743639.07857734,23743639.07857734,4858227.330828863,4858227.330828863,4858227.330828863,4858227.330828863,4858227.330828863,4858227.330828863,0.0,0.0,0.0,28601866.409406204
2015-07-01,22965662.509869248,-12832497.09819065,139754488.27228373,22965662.509869248,22965662.509869248,40089622.494999155,40089622.494999155,40089622.494999155,40089622.494999155,40089622.494999155,40089622.494999155,0.0,0.0,0.0,63055285.0048684
2015-08-01,22161632.435961265,-42393451.65422614,109686393.83537664,22161632.435961265,22161632.435961265,5735183.635339282,5735183.635339282,5735183.635339282,5735183.635339282,5735183.635339282,5735183.635339282,0.0,0.0,0.0,27896816.071300548
2015-09-01,21357602.36205328,-68391465.95767099,80796021.38962601,21357602.36205328,21357602.36205328,-18498637.16405956,-18498637.16405956,-18498637.16405956,-18498637.16405956,-18498637.16405956,-18498637.16405956,0.0,0.0,0.0,2858965.197993718
2015-10-01,20579500.892283656,5807427.494555052,156427513.73679733,20579500.892283656,20579500.892283656,61396545.88081306,61396545.88081306,61396545.88081306,61396545.88081306,61396545.88081306,61396545.88081306,0.0,0.0,0.0,81976046.77309671
