ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2012-02-01,11709114.21768,-92053283.54288153,64213698.461956434,11709114.21768,11709114.21768,-23052662.17262947,-23052662.17262947,-23052662.17262947,-23052662.17262947,-23052662.17262947,-23052662.17262947,0.0,0.0,0.0,-11343547.954949468
2012-03-01,11743766.74233747,-73700898.99048579,94631977.57403402,11743766.74233747,11743766.74233747,-1480869.8294723257,-1480869.8294723257,-1480869.8294723257,-1480869.8294723257,-1480869.8294723257,-1480869.8294723257,0.0,0.0,0.0,10262896.912865145
2012-04-01,11780809.096281663,-82132736.91756968,71823551.01804696,11780809.096281663,11780809.096281663,-14565862.9638509,-14565862.9638509,-14565862.9638509,-14565862.9638509,-14565862.9638509,-14565862.9638509,0.0,0.0,0.0,-2785053.867569238
2012-05-01,11816656.535524478,-63364561.63119808,89493672.36455902,11816656.535524478,11816656.535524478,1940191.9814411253,1940191.9814411253,1940191.9814411253,1940191.9814411253,1940191.9814411253,1940191.9814411253,0.0,0.0,0.0,13756848.516965603
2012-08-01,11926588.682535777,-39385026.594427705,111372968.70051867,11926588.682535777,11926588.682535777,24530210.71632641,24530210.71632641,24530210.71632641,24530210.71632641,24530210.71632641,24530210.71632641,0.0,0.0,0.0,36456799.39886219
2012-09-01,11963631.036806509,-34255279.80406503,129607453.71209773,11963631.036806509,11963631.036806509,33373219.825325966,33373219.825325966,33373219.825325966,33373219.825325966,33373219.825325966,33373219.825325966,0.0,0.0,0.0,45336850.862132475
2012-10-01,11999478.476423346,-51612709.51635942,100638721.97223137,11999478.476423346,11999478.476423346,13170771.043219991,13170771.043219991,13170771.043219991,13170771.043219991,13170771.043219991,13170771.043219991,0.0,0.0,0.0,25170249.519643337
2012-12-01,12072368.270310914,-86340086.71989852,79840923.75653902,12072368.270310914,12072368.270310914,-13657323.24248741,-13657323.24248741,-13657323.24248741,-13657323.24248741,-13657323.24248741,-13657323.24248741,0.0,0.0,0.0,-1584954.972176496
2013-04-01,12216952.943752475,-60183523.57511209,101898797.2092015,12216952.943752475,12216952.943752475,7561976.133488399,7561976.133488399,7561976.133488399,7561976.133488399,7561976.133488399,7561976.133488399,0.0,0.0,0.0,19778929.077240873
2013-06-01,12289842.737801528,-43261999.622263886,106931222.99040562,12289842.737801528,12289842.737801528,17540481.874443363,17540481.874443363,17540481.874443363,17540481.874443363,17540481.874443363,17540481.874443363,0.0,0.0,0.0,29830324.61224489
2013-07-01,12325690.17786372,-37513556.78737273,116402753.73083867,12325690.17786372,12325690.17786372,27147093.188089255,27147093.188089255,27147093.188089255,27147093.188089255,27147093.188089255,27147093.188089255,0.0,0.0,0.0,39472783.365952976
2013-08-01,12362732.532594651,-50201173.572192736,106983670.91754873,12362732.532594651,12362732.532594651,17344586.121361446,17344586.121361446,17344586.121361446,17344586.121361446,17344586.121361446,17344586.121361446,0.0,0.0,0.0,29707318.653956097
2013-09-01,12399774.887915166,-55025058.11614765,106675827.00910193,12399774.887915166,12399774.887915166,15166800.199272593,15166800.199272593,15166800.199272593,15166800.199272593,15166800.199272593,15166800.199272593,0.0,0.0,0.0,27566575.08718776
2013-10-01,12435622.32854792,-38445778.00884374,120099485.26545517,12435622.32854792,12435622.32854792,27989346.77584634,27989346.77584634,27989346.77584634,27989346.77584634,27989346.77584634,27989346.77584634,0.0,0.0,0.0,40424969.10439426
2013-11-01,12472664.683995375,-41465330.51875475,115808362.51163118,12472664.683995375,12472664.683995375,24297154.95139455,24297154.95139455,24297154.95139455,24297154.95139455,24297154.95139455,24297154.95139455,0.0,0.0,0.0,36769819.635389924
2013-12-01,12508512.12475098,-44766704.21979746,116624665.68175627,12508512.12475098,12508512.12475098,20715538.7780631,20715538.7780631,20715538.7780631,20715538.7780631,20715538.7780631,20715538.7780631,0.0,0.0,0.0,33224050.90281408
2014-01-01,12545554.479766773,-54373451.49421021,100735975.61572081,12545554.479766773,12545554.479766773,14305073.82237103,14305073.82237103,14305073.82237103,14305073.82237103,14305073.82237103,14305073.82237103,0.0,0.0,0.0,26850628.302137803
2014-02-01,12582596.834782567,-70575643.1286014,88994966.39769946,12582596.834782567,12582596.834782567,-7903199.756193928,-7903199.756193928,-7903199.756193928,-7903199.756193928,-7903199.756193928,-7903199.756193928,0.0,0.0,0.0,4679397.078588638
2014-03-01,12616054.445764573,-78990274.8383345,72454209.72482136,12616054.445764573,12616054.445764573,-18701456.389570095,-18701456.389570095,-18701456.389570095,-18701456.389570095,-18701456.389570095,-18701456.389570095,0.0,0.0,0.0,-6085401.943805521
2014-04-01,12653096.800098695,-38656991.63731628,123351328.38274796,12653096.800098695,12653096.800098695,30087108.28143028,30087108.28143028,30087108.28143028,30087108.28143028,30087108.28143028,30087108.28143028,0.0,0.0,0.0,42740205.08152898
2014-05-01,12688944.239776876,-29171556.357429173,124391958.88120115,12688944.239776876,12688944.239776876,32212959.16170872,32212959.16170872,32212959.16170872,32212959.16170872,32212959.16170872,32212959.16170872,0.0,0.0,0.0,44901903.40148559
2014-06-01,12725986.593687044,-64564377.213087976,97638130.68181363,12725986.593687044,12725986.593687044,4354542.9485312,4354542.9485312,4354542.9485312,4354542.9485312,4354542.9485312,4354542.9485312,0.0,0.0,0.0,17080529.542218246
2014-07-01,12761834.032954952,-42726321.36191051,120554963.67508738,12761834.032954952,12761834.032954952,26700344.42765959,26700344.42765959,26700344.42765959,26700344.42765959,26700344.42765959,26700344.42765959,0.0,0.0,0.0,39462178.46061454
2014-08-01,12798876.387288414,-60202063.46433625,99115544.68310228,12798876.387288414,12798876.387288414,10039534.899817048,10039534.899817048,10039534.899817048,10039534.899817048,10039534.899817048,10039534.899817048,0.0,0.0,0.0,22838411.287105463
2014-09-01,12835918.741621876,-74484232.42068794,97119251.3418238,12835918.741621876,12835918.741621876,-2631689.854582706,-2631689.854582706,-2631689.854582706,-2631689.854582706,-2631689.854582706,-2631689.854582706,0.0,0.0,0.0,10204228.88703917
2014-10-01,12871766.180628661,-26940870.740081374,131278834.5249295,12871766.180628661,12871766.180628661,43282761.49708694,43282761.49708694,43282761.49708694,43282761.49708694,43282761.49708694,43282761.49708694,0.0,0.0,0.0,56154527.6777156
2014-11-01,12908808.534269005,-37608453.297486,124291063.98242357,12908808.534269005,12908808.534269005,29045460.04206789,29045460.04206789,29045460.04206789,29045460.04206789,29045460.04206789,29045460.04206789,0.0,0.0,0.0,41954268.57633689
2014-12-01,12944655.973356726,-14612801.181018963,151153487.32547265,12944655.973356726,12944655.973356726,54352321.87068987,54352321.87068987,54352321.87068987,54352321.87068987,54352321.87068987,54352321.87068987,0.0,0.0,0.0,67296977.8440466
2015-01-01,12981698.327080706,-84445510.49424604,73218105.77211134,12981698.327080706,12981698.327080706,-21965140.21775471,-21965140.21775471,-21965140.21775471,-21965140.21775471,-21965140.21775471,-21965140.21775471,0.0,0.0,0.0,-8983441.890674004
2015-02-01,13018740.680804687,-86598576.60321735,77073694.69703776,13018740.680804687,13018740.680804687,-15611068.539545786,-15611068.539545786,-15611068.539545786,-15611068.539545786,-15611068.539545786,-15611068.539545786,0.0,0.0,0.0,-2592327.858741099
2015-03-01,13052198.29068457,-100208602.58186552,64940852.66423962,13052198.29068457,13052198.29068457,-26375650.625215672,-26375650.625215672,-26375650.625215672,-26375650.625215672,-26375650.625215672,-26375650.625215672,0.0,0.0,0.0,-13323452.334531102
2015-04-01,13089240.644480156,-16860146.020048082,136560397.0231839,13089240.644480156,13089240.644480156,52980046.03056254,52980046.03056254,52980046.03056254,52980046.03056254,52980046.03056254,52980046.03056254,0.0,0.0,0.0,66069286.6750427
2015-05-01,13124986.653009534,-21077144.302105006,138184651.82750112,13124986.653009534,13124986.653009534,46577080.08449627,46577080.08449627,46577080.08449627,46577080.08449627,46577080.08449627,46577080.08449627,0.0,0.0,0.0,59702066.7375058
2015-06-01,13161924.19515656,-76957406.1349352,89523732.77438806,13161924.19515656,13161924.19515656,-9234916.78269711,-9234916.78269711,-9234916.78269711,-9234916.78269711,-9234916.78269711,-9234916.78269711,0.0,0.0,0.0,3927007.41245945
2015-07-01,13197670.203215575,-43391894.67005112,115545569.13111544,13197670.203215575,13197670.203215575,26164970.256242637,26164970.256242637,26164970.256242637,26164970.256242637,26164970.256242637,26164970.256242637,0.0,0.0,0.0,39362640.45945821
2015-08-01,13234607.744876558,-61092844.53622796,94218345.15693818,13234607.744876558,13234607.744876558,2630374.4291163078,2630374.4291163078,2630374.4291163078,2630374.4291163078,2630374.4291163078,2630374.4291163078,0.0,0.0,0.0,15864982.173992865
2015-09-01,13271536.502029622,-84112859.00910309,69076166.44316374,13271536.502029622,13271536.502029622,-20002487.349045627,-20002487.349045627,-20002487.349045627,-20002487.349045627,-20002487.349045627,-20002487.349045627,0.0,0.0,0.0,-6730950.847016005
2015-10-01,13307274.008951942,-8167407.662179279,148772156.14164752,13307274.008951942,13307274.008951942,59034193.06459144,59034193.06459144,59034193.06459144,59034193.06459144,59034193.06459144,59034193.06459144,0.0,0.0,0.0,72341467.07354338
2015-11-01,13344197.436186472,-34861619.933345474,129860086.6238835,13344197.436186472,13344197.436186472,33970730.66567156,33970730.66567156,33970730.66567156,33970730.66567156,33970730.66567156,33970730.66567156,0.0,0.0,0.0,47314928.10185803
2015-12-01,13379929.785123114,22515728.40750728,181067337.36727563,13379929.785123114,13379929.785123114,87222251.53563526,87222251.53563526,87222251.53563526,87222251.53563526,87222251.53563526,87222251.53563526,0.0,0.0,0.0,100602181.32075837
2016-01-01,13416853.212357642,-118774374.18501009,38230719.4951436,13416853.212357642,13416853.212357642,-58915541.72407684,-58915541.72407684,-58915541.72407684,-58915541.72407684,-58915541.72407684,-58915541.72407684,0.0,0.0,0.0,-45498688.5117192
2016-02-01,13453696.973285139,-84138971.47611156,68910793.76816675,13453696.973285139,13453696.973285139,-23052662.172812607,-23052662.172812607,-23052662.172812607,-23052662.172812607,-23052662.172812607,-23052662.172812607,0.0,0.0,0.0,-9598965.199527469
2016-03-01,13488163.717378603,-65309353.29315759,94856299.44738114,13488163.717378603,13488163.717378603,-1480869.829522892,-1480869.829522892,-1480869.829522892,-1480869.829522892,-1480869.829522892,-1480869.829522892,0.0,0.0,0.0,12007293.887855712
2016-04-01,13525007.478155917,-83771885.5429794,72147178.78301562,13525007.478155917,13525007.478155917,-14565862.96372399,-14565862.96372399,-14565862.96372399,-14565862.96372399,-14565862.96372399,-14565862.96372399,0.0,0.0,0.0,-1040855.4855680726
2016-05-01,13560662.73052106,-63428145.85285511,95986645.5779454,13560662.73052106,13560662.73052106,1940191.981392486,1940191.981392486,1940191.981392486,1940191.981392486,1940191.981392486,1940191.981392486,0.0,0.0,0.0,15500854.711913547
2016-06-01,13597506.491201397,-36621763.469393015,120744548.49245141,13597506.491201397,13597506.491201397,30312445.051182777,30312445.051182777,30312445.051182777,30312445.051182777,30312445.051182777,30312445.051182777,0.0,0.0,0.0,43909951.54238418
2016-07-01,13633161.743472692,-42414247.71269305,122728904.71295719,13633161.743472692,13633161.743472692,27497440.48710626,27497440.48710626,27497440.48710626,27497440.48710626,27497440.48710626,27497440.48710626,0.0,0.0,0.0,41130602.23057895
2016-08-01,13670005.50339964,-37823206.94865818,113554362.09003936,13670005.50339964,13670005.50339964,24530210.716240652,24530210.716240652,24530210.716240652,24530210.716240652,24530210.716240652,24530210.716240652,0.0,0.0,0.0,38200216.21964029
2016-09-01,13706849.26332659,-39116065.27843194,126710018.86157043,13706849.26332659,13706849.26332659,33373219.82545775,33373219.82545775,33373219.82545775,33373219.82545775,33373219.82545775,33373219.82545775,0.0,0.0,0.0,47080069.088784344
2016-10-01,13742504.514706343,-54530236.36891081,102114270.97147647,13742504.514706343,13742504.514706343,13170771.043197744,13170771.043197744,13170771.043197744,13170771.043197744,13170771.043197744,13170771.043197744,0.0,0.0,0.0,26913275.557904087
2016-11-01,13779348.274465421,-49091236.82613334,111662938.71889313,13779348.274465421,13779348.274465421,19745786.983988732,19745786.983988732,19745786.983988732,19745786.983988732,19745786.983988732,19745786.983988732,0.0,0.0,0.0,33525135.25845415
2016-12-01,13815003.525845172,-74335883.12440845,79917349.71850495,13815003.525845172,13815003.525845172,-13657323.242537275,-13657323.242537275,-13657323.242537275,-13657323.242537275,-13657323.242537275,-13657323.242537275,0.0,0.0,0.0,157680.28330789693
2017-02-01,13888691.044712152,-67839585.25102288,93302122.09538658,13888691.044712152,13888691.044712152,47546.6926909789,47546.6926909789,47546.6926909789,47546.6926909789,47546.6926909789,47546.6926909789,0.0,0.0,0.0,13936237.737403132
2017-03-01,13921969.279039178,-73569507.36984478,84292320.14609073,13921969.279039178,13921969.279039178,-10401798.122769179,-10401798.122769179,-10401798.122769179,-10401798.122769179,-10401798.122769179,-10401798.122769179,0.0,0.0,0.0,3520171.156269999
2017-04-01,13958813.038957873,-59796166.91920897,105876608.69906585,13958813.038957873,13958813.038957873,7561976.133649702,7561976.133649702,7561976.133649702,7561976.133649702,7561976.133649702,7561976.133649702,0.0,0.0,0.0,21520789.172607575
2017-05-01,13994468.290492095,-51804291.84787562,114820698.3052695,13994468.290492095,13994468.290492095,17326974.49269322,17326974.49269322,17326974.49269322,17326974.49269322,17326974.49269322,17326974.49269322,0.0,0.0,0.0,31321442.783185314
2017-06-01,14031312.05004364,-48733339.959727444,105241186.64185691,14031312.05004364,14031312.05004364,17540481.874461263,17540481.874461263,17540481.874461263,17540481.874461263,17540481.874461263,17540481.874461263,0.0,0.0,0.0,31571793.924504906
2017-07-01,14066967.30122256,-41907744.091065936,119390173.66010185,14066967.30122256,14066967.30122256,27147093.18806317,27147093.18806317,27147093.18806317,27147093.18806317,27147093.18806317,27147093.18806317,0.0,0.0,0.0,41214060.48928573
2017-08-01,14103811.060774108,-50579573.810717925,105340905.72487187,14103811.060774108,14103811.060774108,17344586.121263817,17344586.121263817,17344586.121263817,17344586.121263817,17344586.121263817,17344586.121263817,0.0,0.0,0.0,31448397.182037927
2017-09-01,14140654.820325656,-49929813.67217395,109716548.50137065,14140654.820325656,14140654.820325656,15166800.199163724,15166800.199163724,15166800.199163724,15166800.199163724,15166800.199163724,15166800.199163724,0.0,0.0,0.0,29307455.019489378
2017-10-01,14176310.071504574,-42374474.9708529,121574756.49682894,14176310.071504574,14176310.071504574,27989346.775967035,27989346.775967035,27989346.775967035,27989346.775967035,27989346.775967035,27989346.775967035,0.0,0.0,0.0,42165656.84747161
2017-11-01,14213153.831056122,-36561760.84401776,117514846.94788282,14213153.831056122,14213153.831056122,24297154.951205596,24297154.951205596,24297154.951205596,24297154.951205596,24297154.951205596,24297154.951205596,0.0,0.0,0.0,38510308.782261714
2017-12-01,14248809.08223504,-42141300.70919844,112119631.82517774,14248809.08223504,14248809.08223504,20715538.778100412,20715538.778100412,20715538.778100412,20715538.778100412,20715538.778100412,20715538.778100412,0.0,0.0,0.0,34964347.860335454
2018-01-01,14285652.84178659,-51162708.05571262,113563756.30624731,14285652.84178659,14285652.84178659,14305073.822634196,14305073.822634196,14305073.822634196,14305073.822634196,14305073.822634196,14305073.822634196,0.0,0.0,0.0,28590726.664420784
2018-02-01,14322496.601338135,-76438727.89301112,86479073.82231471,14322496.601338135,14322496.601338135,-7903199.75610862,-7903199.75610862,-7903199.75610862,-7903199.75610862,-7903199.75610862,-7903199.75610862,0.0,0.0,0.0,6419296.845229515
2018-03-01,14355774.835771792,-78592450.78701155,79117167.00963148,14355774.835771792,14355774.835771792,-18701456.38955421,-18701456.38955421,-18701456.38955421,-18701456.38955421,-18701456.38955421,-18701456.38955421,0.0,0.0,0.0,-4345681.553782418
2018-06-01,14465117.606053805,-66330693.75929408,100446777.87372197,14465117.606053805,14465117.606053805,4354542.948417748,4354542.948417748,4354542.948417748,4354542.948417748,4354542.948417748,4354542.948417748,0.0,0.0,0.0,18819660.554471552
2018-07-01,14500772.857232725,-39440211.68358491,123147068.69836326,14500772.857232725,14500772.857232725,26700344.427661967,26700344.427661967,26700344.427661967,26700344.427661967,26700344.427661967,26700344.427661967,0.0,0.0,0.0,41201117.28489469
2018-08-01,14537616.61678427,-55654085.45905238,106426463.6902915,14537616.61678427,14537616.61678427,10039534.899850462,10039534.899850462,10039534.899850462,10039534.899850462,10039534.899850462,10039534.899850462,0.0,0.0,0.0,24577151.516634732
2018-09-01,14574460.376335818,-66997452.50661472,95336937.96649432,14574460.376335818,14574460.376335818,-2631689.854555379,-2631689.854555379,-2631689.854555379,-2631689.854555379,-2631689.854555379,-2631689.854555379,0.0,0.0,0.0,11942770.521780439
2018-10-01,14610115.627514737,-21517934.57148308,135537658.98690155,14610114.389167855,14610117.25959149,43282761.49699696,43282761.49699696,43282761.49699696,43282761.49699696,43282761.49699696,43282761.49699696,0.0,0.0,0.0,57892877.1245117
2018-11-01,14646959.387066286,-38595276.03299641,120469091.22620766,14646952.328932691,14646967.187901894,29045460.041976657,29045460.041976657,29045460.041976657,29045460.041976657,29045460.041976657,29045460.041976657,0.0,0.0,0.0,43692419.42904294
2018-12-01,14682614.638245203,-12573116.687540004,147841371.31812385,14682598.1578077,14682631.934327303,54352321.87085418,54352321.87085418,54352321.87085418,54352321.87085418,54352321.87085418,54352321.87085418,0.0,0.0,0.0,69034936.50909938
2019-01-01,14719458.39779675,-91681239.98960839,70311459.14186245,14719431.324022308,14719485.262280028,-21965140.21787622,-21965140.21787622,-21965140.21787622,-21965140.21787622,-21965140.21787622,-21965140.21787622,0.0,0.0,0.0,-7245681.820079468
2019-02-01,14756302.1573483,-79817724.78697306,77802087.27577609,14756262.152664835,14756341.996687518,-15611068.539299203,-15611068.539299203,-15611068.539299203,-15611068.539299203,-15611068.539299203,-15611068.539299203,0.0,0.0,0.0,-854766.3819509037
2019-03-01,14789580.391781954,-92941023.58137386,71123962.78714977,14789527.338588554,14789635.048529964,-26375650.625155006,-26375650.625155006,-26375650.625155006,-26375650.625155006,-26375650.625155006,-26375650.625155006,0.0,0.0,0.0,-11586070.233373052
