ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2007-08-01,3193557.630585,-13041220.104284676,4467098.778774993,3193557.630585,3193557.630585,-7318331.890284329,-7318331.890284329,-7318331.890284329,-7318331.890284329,-7318331.890284329,-7318331.890284329,0.0,0.0,0.0,-4124774.259699329
2007-09-01,3296933.8839652706,-15405006.410527902,2806177.1008890094,3296933.8839652706,3296933.8839652706,-9540845.330061927,-9540845.330061927,-9540845.330061927,-9540845.330061927,-9540845.330061927,-9540845.330061927,0.0,0.0,0.0,-6243911.446096657
2008-03-01,3903852.5328429886,-299080.35887708905,17484106.07733794,3903852.5328429886,3903852.5328429886,3993047.7408050406,3993047.7408050406,3993047.7408050406,3993047.7408050406,3993047.7408050406,3993047.7408050406,0.0,0.0,0.0,7896900.273648029
2008-04-01,4007228.786315808,57342.35570251684,18801069.021193523,4007228.786315808,4007228.786315808,5851099.746614224,5851099.746614224,5851099.746614224,5851099.746614224,5851099.746614224,5851099.746614224,0.0,0.0,0.0,9858328.532930031
2008-08-01,4414064.364499162,-10032645.47086294,7270007.818750987,4414064.364499162,4414064.364499162,-6026947.083661407,-6026947.083661407,-6026947.083661407,-6026947.083661407,-6026947.083661407,-6026947.083661407,0.0,0.0,0.0,-1612882.7191622453
2008-11-01,4720858.407180423,-7511187.6493671965,10260031.958333313,4720858.407180423,4720858.407180423,-3153835.8151319358,-3153835.8151319358,-3153835.8151319358,-3153835.8151319358,-3153835.8151319358,-3153835.8151319358,0.0,0.0,0.0,1567022.5920484872
2008-12-01,4820899.942837356,-5292924.655667649,13165291.05102221,4820899.942837356,4820899.942837356,-690153.5334506654,-690153.5334506654,-690153.5334506654,-690153.5334506654,-690153.5334506654,-690153.5334506654,0.0,0.0,0.0,4130746.4093866902
2009-01-01,4924276.196376068,-10459053.373177411,8163482.177795531,4924276.196376068,4924276.196376068,-5661828.763862301,-5661828.763862301,-5661828.763862301,-5661828.763862301,-5661828.763862301,-5661828.763862301,0.0,0.0,0.0,-737552.5674862331
2009-04-01,5224400.80342394,-3924949.784483806,14663716.428463874,5224400.80342394,5224400.80342394,125644.46495649312,125644.46495649312,125644.46495649312,125644.46495649312,125644.46495649312,125644.46495649312,0.0,0.0,0.0,5350045.268380433
2009-05-01,5324442.339087073,-12271083.583608815,5618368.364144763,5324442.339087073,5324442.339087073,-8502921.526004104,-8502921.526004104,-8502921.526004104,-8502921.526004104,-8502921.526004104,-8502921.526004104,0.0,0.0,0.0,-3178479.186917031
