ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2007-08-01,-2295602.4300148524,-162434527.56235662,162208677.45247447,-2295602.4300148524,-2295602.4300148524,7425535.792654226,7425535.792654226,7425535.792654226,7425535.792654226,7425535.792654226,7425535.792654226,0.0,0.0,0.0,5129933.362639373
2007-09-01,-1747622.438132043,-151034296.8851056,163284916.44648737,-1747622.438132043,-1747622.438132043,1535928.264010018,1535928.264010018,1535928.264010018,1535928.264010018,1535928.264010018,1535928.264010018,0.0,0.0,0.0,-211694.17412202503
2008-03-01,1469550.4174379967,-189788605.3455943,126117334.41370974,1469550.4174379967,1469550.4174379967,-31385189.816299647,-31385189.816299647,-31385189.816299647,-31385189.816299647,-31385189.816299647,-31385189.816299647,0.0,0.0,0.0,-29915639.39886165
2008-04-01,2017530.409320806,-143231678.53488046,163630149.73983696,2017530.409320806,2017530.409320806,7352563.81270962,7352563.81270962,7352563.81270962,7352563.81270962,7352563.81270962,7352563.81270962,0.0,0.0,0.0,9370094.222030425
2008-08-01,4174096.8289886354,-154338006.09069818,181023529.11434162,4174096.8289886354,4174096.8289886354,8334390.618743863,8334390.618743863,8334390.618743863,8334390.618743863,8334390.618743863,8334390.618743863,0.0,0.0,0.0,12508487.447732499
2008-11-01,5800360.100780519,-144831168.90441513,181518425.72821093,5800360.100780519,5800360.100780519,6223217.210857577,6223217.210857577,6223217.210857577,6223217.210857577,6223217.210857577,6223217.210857577,0.0,0.0,0.0,12023577.311638094
2008-12-01,6330663.341582221,-141703972.18605366,177088692.08196673,6330663.341582221,6330663.341582221,9156385.097349301,9156385.097349301,9156385.097349301,9156385.097349301,9156385.097349301,9156385.097349301,0.0,0.0,0.0,15487048.438931521
2009-01-01,6878643.357077312,-176297132.33849302,151849660.9047634,6878643.357077312,6878643.357077312,-26874570.988600742,-26874570.988600742,-26874570.988600742,-26874570.988600742,-26874570.988600742,-26874570.988600742,0.0,0.0,0.0,-19995927.63152343
2009-04-01,8469553.079482414,-153808305.8786862,180590210.56925687,8469553.079482414,8469553.079482414,7930498.422315516,7930498.422315516,7930498.422315516,7930498.422315516,7930498.422315516,7930498.422315516,0.0,0.0,0.0,16400051.50179793
2009-05-01,8999856.306777343,-144195855.26197606,181240961.75865784,8999856.306777343,8999856.306777343,12091800.12728915,12091800.12728915,12091800.12728915,12091800.12728915,12091800.12728915,12091800.12728915,0.0,0.0,0.0,21091656.434066493
2009-06-01,9547836.308315434,-145975736.48331326,192021072.8706607,9547836.308315434,9547836.308315434,3825559.2003769637,3825559.2003769637,3825559.2003769637,3825559.2003769637,3825559.2003769637,3825559.2003769637,0.0,0.0,0.0,13373395.508692397
2009-07-01,10078139.535610357,-123718231.540071,191721004.2666441,10078139.535610357,10078139.535610357,21006031.17914996,21006031.17914996,21006031.17914996,21006031.17914996,21006031.17914996,21006031.17914996,0.0,0.0,0.0,31084170.71476032
2009-08-01,10626119.54489117,-147393687.2168867,174830900.91338468,10626119.54489117,10626119.54489117,8031675.808957855,8031675.808957855,8031675.808957855,8031675.808957855,8031675.808957855,8031675.808957855,0.0,0.0,0.0,18657795.353849024
2009-10-01,11704402.788959857,-111507230.0062866,187219515.8599833,11704402.788959857,11704402.788959857,23297343.436890323,23297343.436890323,23297343.436890323,23297343.436890323,23297343.436890323,23297343.436890323,0.0,0.0,0.0,35001746.22585018
2009-11-01,12252382.798240667,-157018942.13085267,179037551.37765267,12252382.798240667,12252382.798240667,6529085.020846538,6529085.020846538,6529085.020846538,6529085.020846538,6529085.020846538,6529085.020846538,0.0,0.0,0.0,18781467.819087207
2009-12-01,12782686.033028547,-143881384.441245,188700531.98632812,12782686.033028547,12782686.033028547,9684754.384571448,9684754.384571448,9684754.384571448,9684754.384571448,9684754.384571448,9684754.384571448,0.0,0.0,0.0,22467440.417599995
2010-01-01,13330666.058838567,-171934404.08325312,155128924.4108779,13330666.058838567,13330666.058838567,-27514737.159511734,-27514737.159511734,-27514737.159511734,-27514737.159511734,-27514737.159511734,-27514737.159511734,0.0,0.0,0.0,-14184071.100673167
2010-02-01,13878646.084648587,-184484443.40278015,145419158.09771505,13878646.084648587,13878646.084648587,-33626476.08401549,-33626476.08401549,-33626476.08401549,-33626476.08401549,-33626476.08401549,-33626476.08401549,0.0,0.0,0.0,-19747829.9993669
2010-03-01,14373595.785380214,-188175787.09979954,153694930.72145605,14373595.785380214,14373595.785380214,-31993977.214460947,-31993977.214460947,-31993977.214460947,-31993977.214460947,-31993977.214460947,-31993977.214460947,0.0,0.0,0.0,-17620381.429080732
2010-04-01,14921575.811190236,-138575942.9456649,190158306.08633274,14921575.811190236,14921575.811190236,8507663.87561627,8507663.87561627,8507663.87561627,8507663.87561627,8507663.87561627,8507663.87561627,0.0,0.0,0.0,23429239.686806507
2010-05-01,15451879.0763658,-127271483.03759396,176149438.1386171,15451879.0763658,15451879.0763658,12205148.702044128,12205148.702044128,12205148.702044128,12205148.702044128,12205148.702044128,12205148.702044128,0.0,0.0,0.0,27657027.778409928
2010-06-01,15999859.117047217,-133630855.17419049,176615300.05032736,15999859.117047217,15999859.117047217,3410178.9851666847,3410178.9851666847,3410178.9851666847,3410178.9851666847,3410178.9851666847,3410178.9851666847,0.0,0.0,0.0,19410038.1022139
2010-07-01,16530162.38222278,-143491513.196785,198985198.923829,16530162.38222278,16530162.38222278,21096854.80419553,21096854.80419553,21096854.80419553,21096854.80419553,21096854.80419553,21096854.80419553,0.0,0.0,0.0,37627017.18641831
2010-08-01,17078142.422904197,-140229983.59604192,184845272.5838675,17078142.422904197,17078142.422904197,7728530.27494918,7728530.27494918,7728530.27494918,7728530.27494918,7728530.27494918,7728530.27494918,0.0,0.0,0.0,24806672.69785338
2010-09-01,17626122.459344547,-147404039.6550497,182113406.81295198,17626122.459344547,17626122.459344547,1933397.8222849204,1933397.8222849204,1933397.8222849204,1933397.8222849204,1933397.8222849204,1933397.8222849204,0.0,0.0,0.0,19559520.28162947
2010-10-01,18156425.72041586,-110447875.4342434,205303333.8047858,18156425.72041586,18156425.72041586,23857731.08262576,23857731.08262576,23857731.08262576,23857731.08262576,23857731.08262576,23857731.08262576,0.0,0.0,0.0,42014156.80304162
2010-11-01,18704405.75685621,-137150775.0254762,203384720.78528506,18704405.75685621,18704405.75685621,6834262.945973896,6834262.945973896,6834262.945973896,6834262.945973896,6834262.945973896,6834262.945973896,0.0,0.0,0.0,25538668.702830106
2010-12-01,19234709.01792752,-134167187.08128543,186815025.02940413,19234709.01792752,19234709.01792752,10187545.564500708,10187545.564500708,10187545.564500708,10187545.564500708,10187545.564500708,10187545.564500708,0.0,0.0,0.0,29422254.582428228
2011-01-01,19782689.079096828,-175953090.4487879,153636098.9272997,19782689.079096828,19782689.079096828,-28161043.533796225,-28161043.533796225,-28161043.533796225,-28161043.533796225,-28161043.533796225,-28161043.533796225,0.0,0.0,0.0,-8378354.454699397
2011-02-01,20330669.14026614,-189853478.8165426,149806833.2222601,20330669.14026614,20330669.14026614,-33756453.61962459,-33756453.61962459,-33756453.61962459,-33756453.61962459,-33756453.61962459,-33756453.61962459,0.0,0.0,0.0,-13425784.479358453
2011-03-01,20825618.872935195,-163093272.50434542,157784039.54618806,20825618.872935195,20825618.872935195,-32266518.460951675,-32266518.460951675,-32266518.460951675,-32266518.460951675,-32266518.460951675,-32266518.460951675,0.0,0.0,0.0,-11440899.58801648
2011-04-01,21373598.90227803,-133064544.71970987,202018337.0548722,21373598.90227803,21373598.90227803,9083103.833072383,9083103.833072383,9083103.833072383,9083103.833072383,9083103.833072383,9083103.833072383,0.0,0.0,0.0,30456702.73535041
2011-05-01,21903902.156480774,-135653199.0008593,187707423.84178004,21903902.156480774,21903902.156480774,12300779.96640963,12300779.96640963,12300779.96640963,12300779.96640963,12300779.96640963,12300779.96640963,0.0,0.0,0.0,34204682.122890405
2011-06-01,22451882.18582361,-141514948.78506383,181532257.67009777,22451882.18582361,22451882.18582361,2992970.9215404848,2992970.9215404848,2992970.9215404848,2992970.9215404848,2992970.9215404848,2992970.9215404848,0.0,0.0,0.0,25444853.107364092
2011-07-01,22982185.44002635,-109932546.19192503,210409795.25864923,22982185.44002635,22982185.44002635,21180705.629700575,21180705.629700575,21180705.629700575,21180705.629700575,21180705.629700575,21180705.629700575,0.0,0.0,0.0,44162891.06972693
2011-08-01,23530165.460480995,-133933826.43815838,189678379.73190346,23530165.460480995,23530165.460480995,7425535.792656245,7425535.792656245,7425535.792656245,7425535.792656245,7425535.792656245,7425535.792656245,0.0,0.0,0.0,30955701.25313724
2011-09-01,24078145.480935644,-155582919.8558529,175273174.7003424,24078145.480935644,24078145.480935644,1535928.2640062573,1535928.2640062573,1535928.2640062573,1535928.2640062573,1535928.2640062573,1535928.2640062573,0.0,0.0,0.0,25614073.7449419
2011-10-01,24608448.726536915,-104744728.90240638,205761790.32412168,24608448.726536915,24608448.726536915,24422369.27075616,24422369.27075616,24422369.27075616,24422369.27075616,24422369.27075616,24422369.27075616,0.0,0.0,0.0,49030817.99729307
2011-11-01,25156428.746991564,-111182147.89962807,200722769.85123983,25156428.746991564,25156428.746991564,7138158.688506263,7138158.688506263,7138158.688506263,7138158.688506263,7138158.688506263,7138158.688506263,0.0,0.0,0.0,32294587.435497828
2011-12-01,25686731.98832745,-117676290.65117651,195078055.03591713,25686731.98832745,25686731.98832745,10664512.567772638,10664512.567772638,10664512.567772638,10664512.567772638,10664512.567772638,10664512.567772638,0.0,0.0,0.0,36351244.556100085
2012-01-01,26234712.004374538,-169228460.34102523,167163001.43411994,26234712.004374538,26234712.004374538,-28812516.056105223,-28812516.056105223,-28812516.056105223,-28812516.056105223,-28812516.056105223,-28812516.056105223,0.0,0.0,0.0,-2577804.051730685
2012-02-01,26782692.02042163,-172268367.38285047,151774368.62941188,26782692.02042163,26782692.02042163,-33877265.06464235,-33877265.06464235,-33877265.06464235,-33877265.06464235,-33877265.06464235,-33877265.06464235,0.0,0.0,0.0,-7094573.044220716
2012-03-01,27295318.487046316,-174840794.80318663,156213102.20375866,27295318.487046316,27295318.487046316,-31385189.816300344,-31385189.816300344,-31385189.816300344,-31385189.816300344,-31385189.816300344,-31385189.816300344,0.0,0.0,0.0,-4089871.3292540275
2012-04-01,27843298.49627706,-133745665.73256187,195204947.20554456,27843298.49627706,27843298.49627706,7352563.812706819,7352563.812706819,7352563.812706819,7352563.812706819,7352563.812706819,7352563.812706819,0.0,0.0,0.0,35195862.30898388
2012-05-01,28373601.73101649,-129056878.87223367,204019359.35385507,28373601.73101649,28373601.73101649,11960921.561303325,11960921.561303325,11960921.561303325,11960921.561303325,11960921.561303325,11960921.561303325,0.0,0.0,0.0,40334523.29231982
2012-07-01,29451884.974986665,-109162906.1110848,206283915.84726992,29451884.974986665,29451884.974986665,20908119.319106065,20908119.319106065,20908119.319106065,20908119.319106065,20908119.319106065,20908119.319106065,0.0,0.0,0.0,50360004.29409273
2012-08-01,29999864.984217413,-122325407.06631216,193612318.43760735,29999864.984217413,29999864.984217413,8334390.618745161,8334390.618745161,8334390.618745161,8334390.618745161,8334390.618745161,8334390.618745161,0.0,0.0,0.0,38334255.602962576
2012-09-01,30547845.000309188,-123569587.85547583,186017664.48126563,30547845.000309188,30547845.000309188,2788703.052544668,2788703.052544668,2788703.052544668,2788703.052544668,2788703.052544668,2788703.052544668,0.0,0.0,0.0,33336548.052853856
2012-10-01,31078148.24168832,-110466038.62170783,216924778.54797155,31078148.24168832,31078148.24168832,22741930.534313016,22741930.534313016,22741930.534313016,22741930.534313016,22741930.534313016,22741930.534313016,0.0,0.0,0.0,53820078.776001334
2012-11-01,31626128.257780094,-123806130.64017273,200674210.5285214,31626128.257780094,31626128.257780094,6223217.210855878,6223217.210855878,6223217.210855878,6223217.210855878,6223217.210855878,6223217.210855878,0.0,0.0,0.0,37849345.46863597
2012-12-01,32156431.49047201,-132380244.20715685,201886812.82683656,32156431.49047201,32156431.49047201,9156385.097351158,9156385.097351158,9156385.097351158,9156385.097351158,9156385.097351158,9156385.097351158,0.0,0.0,0.0,41312816.58782317
2013-01-01,32704411.49758699,-153597634.7276797,172016559.5084734,32704411.49758699,32704411.49758699,-26874570.98860382,-26874570.98860382,-26874570.98860382,-26874570.98860382,-26874570.98860382,-26874570.98860382,0.0,0.0,0.0,5829840.5089831725
2013-02-01,33252391.504701976,-162720568.27739498,165048366.32244447,33252391.504701976,33252391.504701976,-33487833.934516728,-33487833.934516728,-33487833.934516728,-33487833.934516728,-33487833.934516728,-33487833.934516728,0.0,0.0,0.0,-235442.4298147522
2013-03-01,33747341.18854777,-156767486.96378356,169386646.31146058,33747341.18854777,33747341.18854777,-31700236.228906237,-31700236.228906237,-31700236.228906237,-31700236.228906237,-31700236.228906237,-31700236.228906237,0.0,0.0,0.0,2047104.959641531
2013-04-01,34295321.19523355,-131124703.76237734,209334396.32072547,34295321.19523355,34295321.19523355,7930498.422311843,7930498.422311843,7930498.422311843,7930498.422311843,7930498.422311843,7930498.422311843,0.0,0.0,0.0,42225819.617545396
2013-05-01,34825624.42751013,-105914575.55199835,205843411.67455,34825624.42751013,34825624.42751013,12091800.127284782,12091800.127284782,12091800.127284782,12091800.127284782,12091800.127284782,12091800.127284782,0.0,0.0,0.0,46917424.55479491
2013-06-01,35373604.43419591,-123667787.17918037,188643839.7226517,35373604.43419591,35373604.43419591,3825559.2003788007,3825559.2003788007,3825559.2003788007,3825559.2003788007,3825559.2003788007,3825559.2003788007,0.0,0.0,0.0,39199163.63457471
2013-07-01,35903907.66647249,-98044927.17181633,228927855.5783709,35903907.66647249,35903907.66647249,21006031.179149453,21006031.179149453,21006031.179149453,21006031.179149453,21006031.179149453,21006031.179149453,0.0,0.0,0.0,56909938.84562194
2013-08-01,36451887.67532772,-113648963.85161987,211017719.71185666,36451887.67532772,36451887.67532772,8031675.808962604,8031675.808962604,8031675.808962604,8031675.808962604,8031675.808962604,8031675.808962604,0.0,0.0,0.0,44483563.484290324
